date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP,gk_vol_1d,gk_vol_21d
2022-05-26,1143.25,1160.25,1115.0,1133.0,38507,16.253504387767244,1.819647587392609,0.83,292.296,25805.791,0.027566926663995073,0.017159636840184473
2022-05-27,1157.5,1170.25,1133.5,1143.25,25544,19.51511754695217,0.6638908858490596,0.83,292.296,25805.791,0.02120751836547969,0.017459985774750792
2022-05-31,1087.5,1157.25,1087.5,1157.0,68159,19.369226836895912,8.646367788025417,0.83,292.296,25805.791,0.02120784700766052,0.01741588859712974
2022-06-01,1041.25,1098.0,1027.25,1091.0,81448,18.20258955991519,4.863201609972528,0.83,296.311,25805.791,0.03710296240471548,0.018524361641393063
2022-06-02,1058.25,1075.0,1037.25,1043.25,58137,18.255268236812448,2.8637274647020257,0.83,296.311,25805.791,0.023669022049438427,0.019009949667830272
2022-06-03,1040.0,1069.25,1036.25,1061.5,40835,18.503210281637376,1.5355068406996295,0.83,296.311,25805.791,0.018155927124324726,0.01930505022561439
2022-06-06,1093.0,1108.75,1060.0,1060.0,60711,20.310226390381885,1.0937479692656835,0.83,296.311,25805.791,0.025452499005379575,0.020347699701421043
2022-06-07,1071.75,1101.0,1058.5,1093.0,84918,20.88983660316936,4.323757957291315,0.83,296.311,25805.791,0.025018753304460878,0.021517127746240844
2022-06-08,1074.75,1089.0,1061.75,1073.0,68009,20.446158142554424,3.973741024334917,0.83,296.311,25805.791,0.01789039537875602,0.022230746373046617
2022-06-09,1071.25,1082.0,1044.25,1076.25,70950,20.881322003832167,0.7313681274685038,0.83,296.311,25805.791,0.024943613164898567,0.0231232216400178
2022-06-10,1070.75,1081.25,1053.0,1074.5,62709,22.40271051102798,1.3915404768654145,0.83,296.311,25805.791,0.018593795499395032,0.02355277794538315
2022-06-13,1071.0,1093.5,1053.5,1073.0,62605,25.254039924705943,2.596562133943295,0.83,296.311,25805.791,0.026325237707919173,0.023605696493259137
2022-06-14,1050.25,1072.75,1046.5,1071.0,34011,24.912721042074416,1.1401567116468874,0.83,296.311,25805.791,0.012610209047634538,0.02420618263809612
2022-06-15,1050.0,1058.75,1036.5,1055.0,32823,23.723820436459505,1.529052714896077,0.83,296.311,25805.791,0.01472536087338774,0.02429568039019522
2022-06-16,1078.25,1084.75,1047.0,1050.25,38169,24.369799574859385,0.3182494076469431,1.58,296.311,25805.791,0.018970711301457995,0.022952737411857764
2022-06-17,1034.25,1083.75,1030.25,1078.25,42369,25.122726715521217,0.2718927973790698,1.58,296.311,25805.791,0.02471754929104862,0.022659836822608973
2022-06-21,975.25,1033.25,973.5,1032.0,54693,24.481354809941934,0.6724949295616438,1.58,296.311,25805.791,0.0232016963210209,0.022363139372623242
2022-06-22,976.5,1007.25,960.0,977.25,35050,23.19456196100635,0.9006773358699421,1.58,296.311,25805.791,0.03397018769359606,0.02340642988700425
2022-06-23,937.25,974.5,934.5,973.25,32876,24.73602667961601,0.6891269215253573,1.58,296.311,25805.791,0.018154147419678055,0.0236810654114664
2022-06-24,923.75,962.5,921.75,936.25,28752,25.41185318817588,3.92464054332304,1.58,296.311,25805.791,0.029426625388833685,0.02333722039288787
2022-06-27,904.0,940.0,900.5,922.0,26815,21.63979079522193,1.8160026571769248,1.58,296.311,25805.791,0.027772675690686744,0.02336588860494131
2022-06-28,921.25,935.0,907.25,908.0,23635,22.982590471450223,0.2105648571938889,1.58,296.311,25805.791,0.019307749782827864,0.02297259446774287
2022-06-29,915.5,940.0,913.75,922.0,12305,23.157295797179685,0.7630592174975114,1.58,296.311,25805.791,0.01953859976710542,0.022893122153534572
2022-06-30,868.75,917.75,868.75,914.25,2286,24.07559478541814,5.2646139149215205,1.58,296.311,25805.791,0.022330876488387597,0.022946599747854908
2022-07-01,831.25,878.0,831.25,876.0,419,23.70979688040434,16.5144502649351,1.58,296.276,26272.011,0.020852126980792054,0.022172750441953794
2022-07-05,793.75,829.0,793.75,829.0,76,25.9074702621096,3.9100892819097233,1.58,296.276,26272.011,0.01465199708327593,0.02174336830070796
2022-07-06,792.25,813.0,779.0,791.0,384,25.53254854841093,1.8191817089746412,1.58,296.276,26272.011,0.030191700147043195,0.022316500349408838
2022-07-07,824.5,825.25,816.0,816.0,187,25.58756373714338,0.643077700503147,1.58,296.276,26272.011,0.004695321075576313,0.021328063305132497
2022-07-08,879.25,879.25,841.75,843.5,110,25.85205415537014,1.0071574217315653,1.58,296.276,26272.011,0.01686069670574789,0.020939584419479493
2022-07-11,843.75,888.0,843.75,888.0,102,25.228859921595333,0.1096709097474843,1.58,296.276,26272.011,0.017236283215443637,0.020908436221226522
