date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP
2012-10-24,884.0,895.0,865.0,868.25,66641,13.94367995355681,0.3971962579181311,0.17,231.317,16420.419
2012-10-25,872.75,889.0,871.0,882.5,52944,8.93729571167093,1.9787837954996992,0.16,231.317,16420.419
2012-10-26,863.75,878.75,863.25,874.75,50339,5.014517991097831,0.9888987602181224,0.16,231.317,16420.419
2012-10-31,864.5,875.0,858.25,858.75,64287,9.303869598083722,0.1180828582420837,0.18,231.317,16420.419
2012-11-01,868.5,877.5,863.5,865.75,60736,8.737280637239603,0.0003834422804723,0.17,230.221,16420.419
2012-11-02,864.5,873.75,858.75,867.25,48641,8.982267821447603,0.5586432072779137,0.16,230.221,16420.419
2012-11-05,866.0,875.75,863.0,864.5,56177,8.711377869332413,0.5305827069133485,0.17,230.221,16420.419
2012-11-06,877.0,879.75,867.0,867.0,46154,8.154429276210156,0.2935307975596832,0.16,230.221,16420.419
2012-11-07,894.0,897.0,870.75,876.5,92173,8.527963818208892,0.1850301777309688,0.16,230.221,16420.419
2012-11-08,902.5,905.0,886.5,894.0,111886,8.355515171982894,0.0476121402673676,0.16,230.221,16420.419
2012-11-09,886.5,916.5,884.0,898.75,118828,9.536416751867044,0.2318679191898411,0.16,230.221,16420.419
2012-11-12,857.75,886.5,855.0,886.0,105694,0.4964355429237146,1.60304275568781,0.16,230.221,16420.419
2012-11-13,851.0,864.5,843.25,857.75,83871,2.2448813606025744,0.1076383601220169,0.16,230.221,16420.419
2012-11-14,848.75,858.0,845.25,852.25,69446,4.371881512619029,0.0,0.16,230.221,16420.419
2012-11-15,845.5,856.5,843.25,849.0,60914,4.41113374560241,0.0551091947271487,0.16,230.221,16420.419
2012-11-16,838.0,850.0,829.5,844.5,81095,5.01858912937624,0.0033176301193272,0.16,230.221,16420.419
2012-11-19,841.75,848.0,835.5,835.5,52363,8.842155705522789,0.0919102745219063,0.16,230.221,16420.419
2012-11-20,845.0,849.75,837.5,843.25,46012,8.484859889536459,0.1019011872042853,0.16,230.221,16420.419
2012-11-21,845.25,849.5,841.0,844.75,49949,10.253589435248726,0.0493219401673327,0.16,230.221,16420.419
2012-11-23,847.75,853.75,845.25,849.75,26437,1.908187066118037,0.1936139286625842,0.16,230.221,16420.419
2012-11-26,849.0,854.25,844.5,849.25,42575,0.8017136284134021,0.1996245805842534,0.16,230.221,16420.419
2012-11-27,873.0,873.5,849.25,850.25,44351,0.0047411273803674,0.5876943993662389,0.16,230.221,16420.419
2012-11-28,876.0,880.0,864.75,872.25,32150,2.5085650526555385,0.0138004718209482,0.16,230.221,16420.419
2012-11-29,869.25,879.75,865.0,875.0,29287,4.892820565919791,0.2030710775077766,0.16,230.221,16420.419
2012-11-30,844.75,869.75,844.0,869.75,19236,7.148952630877539,0.2146184274112929,0.16,230.221,16420.419
2012-12-03,842.0,858.5,840.5,849.75,3751,12.319875381623143,0.3729919276263514,0.16,229.601,16420.419
2012-12-04,838.5,845.25,835.0,842.25,1762,6.158941305694489,7.511645340027283,0.17,229.601,16420.419
2012-12-05,842.25,845.0,837.75,840.25,1075,6.134876336034102,0.2787106627763579,0.16,229.601,16420.419
2012-12-06,845.25,845.5,836.75,842.5,524,5.523719246270918,0.1948200958126137,0.16,229.601,16420.419
2012-12-07,844.25,844.5,837.0,844.5,162,3.9014177423273537,0.6393831977534679,0.16,229.601,16420.419
2012-12-10,832.75,841.5,831.0,841.5,108,-4.635686852863644,2.200056574959236,0.16,229.601,16420.419
2012-12-11,805.75,831.0,801.75,831.0,105,-3.238423253771022,0.0240067650848487,0.17,229.601,16420.419
2012-12-12,794.75,805.5,794.75,805.5,103,-0.0800907912420874,0.0410006388617482,0.17,229.601,16420.419
