State code,County code,centroid_lat,centroid_lon,2024 planted area (acres),weight
31,045,42.72069789206111,-103.13543488078994,17057.24,0.0002752884500127668
31,045,42.72069789206111,-103.13543488078994,158.94,2.565148068798302e-06
31,045,42.72069789206111,-103.13543488078994,127.51,2.0578962517457624e-06
31,045,42.72069789206111,-103.13543488078994,17343.69,0.0002799114943333108
31,047,40.87019909675244,-99.81953395147583,0.0,0.0
31,047,40.87019909675244,-99.81953395147583,3907.71,6.306691053179698e-05
31,049,41.11163558594755,-102.33387422551118,0.0,0.0
31,049,41.11163558594755,-102.33387422551118,22238.18,0.00035890414295073
31,049,41.11163558594755,-102.33387422551118,2702.04,4.360848551538797e-05
31,049,41.11163558594755,-102.33387422551118,24940.22,0.00040251262846611796
31,051,42.49389767710993,-96.86827710539052,0.0,0.0
31,051,42.49389767710993,-96.86827710539052,454.86,7.341029637432966e-06
31,051,42.49389767710993,-96.86827710539052,20.0,3.227819389453004e-07
31,051,42.49389767710993,-96.86827710539052,474.86,7.663811576378266e-06
31,053,41.57802560769163,-96.65395363324197,0.0,0.0
31,053,41.57802560769163,-96.65395363324197,566.63,9.144896503228778e-06
31,055,41.29542385258905,-96.15497656510702,0.0,0.0
31,055,41.29542385258905,-96.15497656510702,89.3,1.441221357390766e-06
31,055,41.29542385258905,-96.15497656510702,1.0,1.6139096947265017e-08
31,055,41.29542385258905,-96.15497656510702,90.3,1.457360454338031e-06
31,057,40.17647507496827,-101.68780391506195,0.0,0.0
31,057,40.17647507496827,-101.68780391506195,26065.8,0.0004206784732080205
31,057,40.17647507496827,-101.68780391506195,185.0,2.9857329352440283e-06
31,057,40.17647507496827,-101.68780391506195,1898.08,3.063329713366478e-05
31,057,40.17647507496827,-101.68780391506195,28148.88,0.00045429750327692934
31,059,40.524811662724474,-97.59646938472699,0.0,0.0
31,059,40.524811662724474,-97.59646938472699,947.14,1.528598428263259e-05
31,061,40.17659671803659,-98.9529952933973,0.0,0.0
31,061,40.17659671803659,-98.9529952933973,4031.47,6.50642851699905e-05
31,063,40.53016397715993,-100.39371853481774,0.0,0.0
31,063,40.53016397715993,-100.39371853481774,16392.53,0.0002645606308809502
31,063,40.53016397715993,-100.39371853481774,331.55,5.350917592865717e-06
31,063,40.53016397715993,-100.39371853481774,16724.08,0.00026991154847381596
31,065,40.17668765940413,-99.91249306918448,0.0,0.0
31,065,40.17668765940413,-99.91249306918448,36048.39999999999,0.0005817886223937881
