date,Close,High,Low,Open,Volume,weighted_tavg,weighted_prcp
2001-09-11,271.0,271.0,271.0,271.0,1.0,17.964199419016502,0.02511372092236624
2001-09-12,271.0,271.0,271.0,271.0,6.0,18.853396634955338,0.08521707242780771
2001-09-13,274.5,274.5,274.5,274.5,170.0,18.48907707309595,0.5607349574930524
2001-09-14,274.5,274.5,274.5,274.5,170.0,16.828986043474288,2.2346944382409277
2001-09-15,274.5,274.5,274.5,274.5,170.0,16.63701185692939,2.5123005767871014
2001-09-16,274.5,274.5,274.5,274.5,170.0,17.742234535300284,2.2403094175796174
2001-09-17,272.25,272.25,269.0,271.0,129.0,17.58274593536315,5.637589632307991
2001-09-18,276.5,277.0,275.0,275.25,141.0,17.75779636673792,9.779574107297364
2001-09-19,268.0,268.75,267.0,268.0,129.0,18.7214580635927,1.64974262914758
2001-09-20,261.5,263.75,261.5,263.25,66.0,18.167964568990417,5.3832730442819745
2001-09-21,266.5,267.0,265.25,265.75,122.0,18.62767144658516,2.8840311346703573
2001-09-22,266.5,267.0,265.25,265.75,122.0,18.529677110764382,3.7135318493659635
2001-09-23,266.5,267.0,265.25,265.75,122.0,15.59091205188369,5.498353623137167
2001-09-24,266.75,267.0,265.75,267.0,66.0,14.219640885016396,1.280252269791826
2001-09-25,267.25,267.5,266.0,267.0,32.0,14.22056147381058,0.16704285850382877
2001-09-26,270.75,272.0,270.75,270.75,75.0,14.8507054900955,0.04829532097033533
2001-09-27,276.0,277.0,275.25,276.0,88.0,16.25120103629378,0.006002211819733621
2001-09-28,275.0,275.0,273.75,274.25,75.0,17.353982868896146,0.009551048370359524
2001-09-29,275.0,275.0,273.75,274.25,75.0,16.646587384147434,0.00892019028858377
2001-09-30,275.0,275.0,273.75,274.25,75.0,15.831660799872907,0.10077858119493066
2001-10-01,270.5,270.75,269.75,270.75,88.0,16.925320950336555,0.022973667579852614
2001-10-02,266.0,267.5,265.5,266.0,88.0,17.0993003874146,0.004286056892229464
